#{"t_start": 1585547036.033018, "env_id": "CarlaGymEnv-v95"}
r,l,t,max index
25.172568,35,2.11812,1
7.099247,13,2.712704,1
8.777922,15,3.378033,2
17.141356,26,4.533973,5
11.002325,17,5.297989,5
9.067631,16,6.03395,5
5.386675,10,6.486028,5
25.217432,38,8.178077,8
12.701214,21,9.124332,8
6.466074,11,9.638028,8
9.613258,15,10.305829,8
21.357874,35,11.861935,8
19.918137,29,13.178026,8
14.325327,22,14.162174,8
18.011367,26,15.32425,8
10.377215,19,16.180359,8
17.041564,28,17.418103,8
19.07939,31,18.840315,8
11.8959,18,19.646022,8
17.710221,26,20.828917,8
16.261478,28,22.085928,8
20.863316,30,23.430027,9
14.549672,22,24.409988,9
14.224871,23,25.450115,9
7.581246,12,25.985936,9
7.78961,13,26.582003,9
14.733842,22,27.578008,9
8.187883,14,28.204336,9
15.424284,22,29.2004,9
9.523559,15,29.88255,9
14.264462,23,30.925405,9
13.220427,20,31.830012,9
12.112405,20,32.721888,9
11.830072,19,33.562024,9
10.210411,16,34.282003,9
14.767627,22,35.265974,9
16.732783,30,36.618036,9
11.56014,18,37.433312,9
8.547897,15,38.09809,9
10.278497,16,38.810375,9
18.986679,30,40.153989,9
9.751637,16,40.865927,9
12.460799,19,41.717498,9
5.615113,10,42.160385,9
17.847593,34,43.670027,9
22.241108,34,45.178394,9
15.267173,24,46.270114,9
13.90413,21,47.107836,9
19.645701,32,48.457822,9
15.472022,24,49.525962,9
15.401305,25,50.654037,9
8.613231,14,51.274118,9
10.047619,16,51.993549,9
10.678324,18,52.792637,9
23.594154,36,54.381946,9
15.661096,24,55.445887,9
9.210061,17,56.198314,9
14.534355,25,57.306154,9
12.828654,23,58.348434,9
18.045366,31,59.724341,9
5.619037,10,60.168277,9
21.540627,31,61.572338,9
13.032711,20,62.449949,9
12.933283,22,63.437974,9
14.361468,23,64.469926,9
12.118619,22,65.469985,9
31.042122,47,67.581912,15
19.356162,29,68.892269,15
12.879935,19,69.743533,15
13.10395,23,70.769973,15
21.270794,32,72.224311,15
10.185589,16,72.954135,15
21.700894,35,74.523999,15
31.050648,45,76.561959,15
13.235938,20,77.480253,15
9.447432,16,78.198285,15
22.605741,31,79.585972,15
11.48558,20,80.508154,15
15.345599,27,81.75471,15
7.438201,14,82.393436,15
19.456875,31,83.789982,15
19.034079,38,85.514005,15
20.11802,34,87.042047,15
7.592445,12,87.573936,15
16.986672,25,88.698068,15
28.81609,42,90.605992,15
9.467508,15,91.273891,15
22.279594,33,92.781963,15
14.015537,26,93.949935,15
11.586646,23,95.013996,15
17.624853,26,96.214003,15
5.735209,11,96.71793,15
19.115769,28,97.952704,15
12.480654,20,98.830021,15
16.716954,30,100.174173,15
20.582645,37,101.857906,15
4.584415,10,102.314929,15
17.553665,29,103.640244,15
16.490944,27,104.841951,15
22.144039,33,106.301968,15
26.951722,39,108.06032,15
23.514405,37,109.738069,15
19.637034,28,111.009832,15
12.958735,21,111.940715,15
13.342403,20,112.842067,15
11.558123,22,113.828244,15
7.948819,13,114.400302,15
9.024171,15,115.05794,15
15.826053,28,116.290134,15
3.919125,8,116.641942,15
5.844463,10,117.085946,15
14.349905,24,118.153989,15
8.468149,14,118.778151,15
7.240455,12,119.309857,15
16.147391,29,120.616366,15
7.41886,12,121.162001,15
11.343504,17,121.918018,15
12.525961,21,122.858054,15
12.834293,21,123.812365,15
8.690899,14,124.438016,15
13.539581,26,125.609953,15
6.736606,12,126.150083,15
13.314477,21,127.102065,15
7.164604,12,127.634055,15
6.131004,11,128.130182,15
27.632389,42,130.036369,15
12.205125,23,131.104349,15
7.840862,14,131.738035,15
7.039318,12,132.285995,15
13.6547,21,133.260897,15
10.935964,17,134.014097,15
20.034802,37,135.676646,15
3.871257,8,136.025946,15
17.872477,27,137.234017,15
28.853929,40,139.053928,15
6.734597,12,139.590086,15
17.255882,25,140.709955,15
3.103472,8,141.071737,15
15.47668,23,142.116335,15
4.895912,9,142.529969,15
12.945709,25,143.630465,15
14.167261,21,144.553925,15
9.739658,15,145.238028,15
12.082626,21,146.173908,15
9.946182,16,146.886261,15
7.780176,17,147.661964,15
13.041319,21,148.614228,15
7.895112,15,149.294626,15
16.016379,28,150.549965,15
14.582965,22,151.542353,15
4.802051,9,151.938023,15
10.607052,17,152.714037,15
16.047141,25,153.837986,15
11.969349,19,154.682041,15
18.768421,28,155.925938,15
15.443626,24,156.986117,15
11.406935,18,157.806213,15
24.204396,34,159.318139,15
3.129651,7,159.640422,15
3.026145,7,159.950003,15
3.38759,8,160.310312,15
16.115013,23,161.362141,15
11.732093,20,162.265987,15
8.743146,14,162.889978,15
7.769,13,163.475646,15
9.186928,16,164.185959,15
14.86194,25,165.302047,15
4.357929,9,165.708432,15
3.52831,8,166.068376,15
15.188197,24,167.140508,15
15.120568,24,168.196497,15
7.811336,13,168.77397,15
15.814643,24,169.865394,15
21.966285,32,171.312744,15
15.829186,25,172.437943,15
13.339052,20,173.337999,15
20.376862,29,174.642019,15
10.825659,22,175.616336,15
10.64694,17,176.384315,15
9.855034,16,177.098347,15
14.568117,22,178.098011,15
9.28511,15,178.785982,15
16.070022,24,179.878125,15
22.745298,40,181.665834,15
8.64511,16,182.372267,15
13.855537,20,183.29404,15
22.178078,35,184.877953,15
18.426674,28,186.141999,15
19.262002,28,187.402144,15
15.385776,26,188.58208,15
15.561358,24,189.646397,15
2.30461,6,189.912358,15
13.101327,22,190.904727,15
15.833239,26,192.050096,15
3.971881,8,192.402,15
4.015865,8,192.768708,15
18.328623,30,194.109928,15
