#{"t_start": 1585778056.061524, "env_id": "CarlaGymEnv-v95"}
r,l,t,max index
30.028991,33,2.717023,0
12.914124,18,3.386705,3
25.044104,34,4.786677,8
16.790906,23,5.736728,8
7.569216,11,6.188611,8
11.448303,15,6.810723,8
19.272043,25,7.842653,8
14.33446,19,8.625698,8
26.11828,34,10.025769,8
10.732236,18,10.770724,8
15.456874,23,11.720807,8
20.48872,32,13.04586,8
14.262867,18,13.789987,8
21.188578,30,15.037052,8
8.992669,14,15.612698,8
11.474912,15,16.228601,8
9.381984,13,16.762724,8
24.325401,36,18.243602,9
15.770041,20,19.071042,9
17.996797,24,20.060624,9
13.872073,19,20.845966,9
8.584551,12,21.339805,9
11.128733,16,22.000625,9
15.680673,23,22.947029,9
10.898899,16,23.606736,9
8.841145,13,24.143768,9
16.983346,21,25.009605,9
11.983866,15,25.626641,9
21.279033,31,26.906699,9
6.955797,10,27.323441,9
18.884799,25,28.35275,9
13.50015,18,29.094816,9
12.433104,19,29.877707,9
13.185831,18,30.618762,9
14.239909,22,31.524615,9
7.215794,10,31.937648,9
15.091551,21,32.802672,9
15.087974,22,33.708704,9
13.847325,18,34.454825,9
15.851553,20,35.279578,9
12.857763,19,36.060611,9
10.958631,14,36.635787,9
11.519319,18,37.379685,9
18.422632,28,38.535694,9
13.24815,19,39.322927,9
19.438584,28,40.478829,9
14.20811,21,41.344743,9
15.506341,20,42.170897,9
14.289771,21,43.039678,9
14.780501,23,43.99076,9
12.546435,17,44.691597,9
13.437729,20,45.515643,9
12.805356,19,46.298675,9
33.033791,42,48.033661,13
13.661938,18,48.774756,13
8.661878,15,49.3947,13
16.696215,23,50.347687,13
17.026651,22,51.253682,13
15.886623,21,52.117736,13
4.175926,7,52.404995,13
14.368571,19,53.187047,13
15.310616,19,53.969801,13
15.847918,23,54.91977,13
17.633054,23,55.867695,13
13.587974,20,56.692784,13
20.726829,26,57.770818,13
16.151946,24,58.762676,13
8.785662,15,59.385725,13
17.263909,25,60.419592,13
14.174598,19,61.200676,13
6.615665,10,61.611679,13
15.111093,19,62.396703,13
28.466413,36,63.884714,13
19.148012,25,64.912709,13
16.258488,22,65.821727,13
32.474002,43,67.597689,13
12.713393,19,68.384662,13
14.566873,18,69.127609,13
14.034319,18,69.869629,13
17.223837,22,70.774624,13
27.610327,40,72.424684,13
14.247932,18,73.167012,13
14.35696,21,74.032702,13
13.47859,20,74.855658,13
22.433855,31,76.133701,13
10.493825,14,76.713726,13
17.387309,25,77.74798,13
11.259083,16,78.407626,13
13.548396,19,79.191616,13
8.055149,14,79.767801,13
17.449078,25,80.797935,13
11.960315,19,81.58271,13
14.325014,21,82.449734,13
7.750365,11,82.903808,13
21.981987,30,84.147792,13
10.650657,18,84.888962,13
28.564875,37,86.416667,13
13.974501,19,87.203603,13
8.265549,12,87.698619,13
15.453844,23,88.646693,13
17.110294,23,89.594605,13
22.628922,36,91.08159,13
11.263519,16,91.7417,13
13.368837,17,92.441652,13
10.932518,15,93.063054,13
8.365564,12,93.557893,13
10.133842,15,94.179697,13
7.07778,10,94.591747,13
4.262274,7,94.88168,13
9.067616,16,95.54463,13
21.129726,29,96.739628,13
9.685191,13,97.277756,13
6.047179,9,97.648696,13
17.100977,22,98.55468,13
20.489444,28,99.70781,13
14.506675,21,100.572776,13
19.787706,28,101.732615,13
16.147377,22,102.645631,13
14.727648,22,103.54976,13
15.268607,20,104.373703,13
15.465474,20,105.201701,13
8.686799,12,105.700705,13
18.314829,24,106.693613,13
13.175647,18,107.432715,13
15.574067,21,108.297604,13
7.486861,13,108.833708,13
10.554266,14,109.415657,13
16.772929,23,110.363697,13
8.268964,11,110.818716,13
20.155164,30,112.060671,13
25.802492,38,113.625668,13
21.26734,31,114.906759,13
13.803876,18,115.647635,13
6.356373,11,116.102626,13
15.046433,20,116.924756,13
