#{"t_start": 1583016170.237673, "env_id": "CarlaGymEnv-v95"}
r,l,t
1.285339,26,284.591897
1.233725,26,285.743682
1.570089,33,287.299724
0.740304,24,288.355713
5.85944,37,289.98404
5.721719,35,291.631718
-0.931334,25,292.731687
0.591399,24,293.787623
2.46411,28,295.035793
0.123612,27,296.359818
4.275522,34,297.903702
2.404977,33,299.38777
1.831386,28,300.755732
0.322172,28,302.047701
0.58566,24,303.115744
1.572268,27,304.303625
-2.328932,24,305.463749
2.916055,38,307.135742
3.639358,32,308.543859
1.501742,26,309.791916
0.086954,25,310.903726
0.230323,29,312.243839
4.123128,35,313.91574
-0.154817,27,315.103781
1.154105,25,316.20373
1.592077,27,317.399685
-0.817414,27,318.699711
0.573094,25,319.799928
1.487075,26,320.943693
-1.160797,25,322.055741
4.100046,35,323.751778
1.403268,26,324.895772
-0.74952,25,325.995673
0.779506,24,327.051772
4.585245,36,328.739669
0.430431,24,329.795678
1.501178,24,330.851705
1.836705,27,332.143801
0.724763,29,333.419974
0.665643,24,334.475683
5.731726,35,336.015751
-0.292703,24,337.175722
0.340577,24,338.231772
2.148656,27,339.419667
0.007467,26,340.563708
3.216219,33,342.155861
1.449191,27,343.343728
1.645729,26,344.495811
1.283862,25,345.719701
1.909178,28,346.987721
-0.551075,28,348.219714
1.360553,25,349.319621
2.442144,27,350.611709
0.044319,27,351.800205
4.724404,34,353.311795
0.228517,30,354.755713
5.256646,35,356.295664
-0.134235,25,357.407696
1.922578,25,358.523734
1.910018,27,359.855761
2.697306,34,361.35975
-0.024165,25,362.459744
3.787621,35,364.103832
2.155892,27,365.291718
1.622509,31,366.65578
1.471953,24,367.711735
6.12127,37,369.447799
1.10986,25,370.547708
-0.798364,25,371.663865
4.19854,34,373.291732
1.755867,26,374.43575
-1.722194,24,375.491669
2.069261,32,376.899874
5.576131,34,378.563785
0.841158,24,379.623666
1.330389,24,380.68778
5.99314,37,382.463722
0.953066,25,383.564059
-0.175434,25,384.687829
3.750006,35,386.33978
5.563645,35,387.879757
1.452886,26,389.027702
0.510103,25,390.131838
0.771898,26,391.395692
-1.212326,26,392.539676
-0.803055,26,393.683797
2.106821,27,394.871684
2.248074,33,396.459821
0.421261,25,397.563712
0.920713,28,398.795715
0.040135,24,399.967725
0.420337,24,401.035695
1.393397,26,402.179752
-1.189141,25,403.295699
3.429395,35,404.947834
5.435321,36,406.531803
1.980495,26,407.687779
-0.711239,24,408.76766
3.009261,32,410.29172
5.764123,35,411.831787
0.927485,24,412.88785
0.590812,24,414.055807
1.528823,27,415.243868
1.843229,31,416.607795
0.809717,25,417.739763
2.863025,28,419.087807
-0.120145,25,420.187701
0.628798,26,421.355795
6.211553,37,423.107816
1.260266,26,424.251686
0.24055,25,425.351725
-0.898114,28,426.583938
4.91395,33,428.139735
2.336515,34,429.635767
0.538283,25,430.735889
4.07919,34,432.367786
1.534245,27,433.571666
-1.575914,24,434.679645
0.161518,31,436.079695
5.769272,35,437.759688
-0.494386,25,438.879715
0.898258,24,439.935697
0.97356,27,441.227749
3.310132,36,442.811856
-0.784913,25,443.91173
