#{"t_start": 1586045698.2943006, "env_id": "CarlaGymEnv-v1"}
r,l,t,max index
-104.289712,53,5.384883,9
-106.858365,22,6.294977,9
-103.231277,17,6.999723,9
-102.291342,19,7.785768,9
-105.474327,20,8.616137,9
-101.690279,12,9.109045,9
-104.19576,20,9.935774,9
-100.670566,11,10.390094,9
-104.945708,21,11.254398,9
-103.707165,27,12.372735,9
-103.183657,18,13.120747,9
-101.698913,16,13.779751,9
-104.609596,25,14.818519,9
-101.953903,17,15.522855,9
-104.268622,18,16.272145,9
-105.242786,28,17.422096,9
-106.144347,28,18.581378,9
-110.604041,32,19.910779,9
-105.429949,21,20.782184,9
-102.482334,14,21.358059,9
-103.169163,17,22.056615,9
-101.432784,14,22.632922,9
-103.339588,20,23.452889,9
-101.726407,19,24.234647,9
-104.090989,25,25.275755,9
-102.151666,16,25.938727,9
-101.182993,15,26.560749,9
-106.046005,26,27.630058,9
-108.265325,36,29.113964,9
-105.189414,24,30.098809,9
-102.987396,22,31.004614,9
-105.594032,24,31.988762,9
-105.136432,24,32.980824,9
-104.695689,27,34.089726,9
-102.535784,22,34.993064,9
-104.52335,28,36.146751,9
-101.711007,15,36.765972,9
-103.56683,16,37.427986,9
-104.980661,27,38.546968,9
-101.472807,9,38.916178,9
-105.929573,22,39.824066,9
-101.783655,14,40.40555,9
-105.175652,24,41.395958,9
-103.209825,21,42.259768,9
-102.705716,19,43.044778,9
-101.683491,16,43.708792,9
-100.599166,5,43.914788,9
-102.668236,16,44.57878,9
-103.604073,24,46.839454,9
-104.265928,20,47.190835,9
-101.506254,14,47.767977,9
-106.998719,35,49.214648,10
-102.347426,15,49.836665,10
-105.339647,27,50.953033,10
-101.598454,19,51.736962,10
-102.859775,20,52.565899,10
-105.242586,28,53.723805,10
-101.687392,12,54.220707,10
-106.037269,25,55.245567,10
-101.347926,16,55.901543,10
-111.311646,40,57.549908,10
-110.001555,36,59.042922,10
-102.297309,9,59.414984,10
-106.980466,39,61.020789,10
-107.203879,39,62.638754,11
-104.147156,29,63.83502,11
-102.784412,15,64.455605,11
-105.040777,27,65.57794,11
-100.963671,7,65.86896,11
-104.076803,26,66.952513,11
-103.268187,25,67.988448,11
-102.655196,15,68.610706,11
-102.720057,22,69.513751,11
-105.129104,29,70.717976,11
-102.431198,15,71.338666,11
-103.982305,19,72.11769,11
-101.717004,12,72.613595,11
-102.837519,25,73.650121,11
-102.016308,20,74.495696,11
-102.252274,18,75.241718,11
-100.948152,9,75.613833,11
-105.226943,21,76.483842,11
-104.564813,20,77.316739,11
-104.049672,20,78.145786,11
-102.493321,18,78.890736,11
-105.979897,28,80.049928,11
-102.405143,15,80.665843,11
-102.545274,18,81.418414,11
-105.927258,37,82.942899,11
-102.369972,19,83.72882,11
-104.900545,21,84.602041,11
-107.408736,25,85.639716,11
-102.553368,22,86.551006,11
-101.218717,13,87.091871,11
-102.738024,11,87.547847,11
-105.40107,29,88.848809,11
-101.801452,12,89.342915,11
-102.37342,15,89.962817,11
-100.92499,13,90.499444,11
-101.642709,12,90.99793,11
-103.819033,19,91.781576,11
-101.477388,17,92.481371,11
-102.660374,18,93.225449,11
-106.312403,31,94.512553,11
-103.757063,22,95.421505,11
-107.583737,28,96.746005,11
-103.888865,15,97.380439,11
-104.099092,29,98.583777,11
-103.351923,20,99.40662,11
-100.925025,7,99.69765,11
-105.655316,31,100.982488,11
-105.489873,18,101.730605,11
-101.457894,11,102.186531,11
-103.524367,24,103.176578,11
-101.022639,11,103.62964,11
-100.958135,8,103.959682,11
-103.823406,27,105.078521,11
-100.891628,10,105.492721,11
-103.893142,28,106.648724,11
-101.409288,13,107.186642,11
-102.040169,21,108.056739,11
-100.851879,12,108.562865,11
-104.064067,26,109.631957,11
-104.554664,22,110.541636,11
-101.885356,16,111.202752,11
-103.132229,24,112.196896,11
-107.332052,35,113.651777,11
-101.471414,12,114.145624,11
-101.156614,15,114.770238,11
-102.488949,21,115.635674,11
-107.949518,26,116.706645,11
-102.487628,17,117.409624,11
-103.162212,21,118.282685,11
-103.652492,22,119.191691,11
-105.358512,20,120.021771,11
-104.90938,20,120.848764,11
-106.092918,22,121.760822,11
-105.11231,24,122.758822,11
-108.884541,38,124.320814,11
-109.792562,39,125.934788,11
-104.654503,26,127.009774,11
-106.130483,26,128.087499,11
-104.6948,25,129.128854,11
-104.886422,22,130.039831,11
-103.979725,14,130.619883,11
-109.046526,39,132.34379,11
-106.04435,24,133.33397,11
-104.871418,20,134.159888,11
-109.07853,37,135.680976,11
-101.645644,13,136.220526,11
-106.26418,35,137.675547,11
-101.01748,11,138.130351,11
-106.644553,36,139.621724,11
-102.567859,14,140.200646,11
-104.454343,28,141.361423,11
-103.593047,21,142.230304,11
-101.597031,15,142.851251,11
-106.564293,28,144.0159,11
-102.18016,22,144.926452,11
-103.770597,16,145.590498,11
-104.213795,17,146.296515,11
-103.785974,23,147.251534,11
-100.702575,6,147.501579,11
-101.293227,11,147.957335,11
-106.431555,28,149.120305,11
-100.674674,8,149.453289,11
-103.443442,21,150.33045,11
-104.06401,24,151.331406,11
-102.261083,15,151.952317,11
-108.788837,31,153.242374,11
-104.611401,17,153.948314,11
-101.111536,8,154.282365,11
-104.344351,18,155.032635,11
-101.230561,7,155.321746,11
-104.360959,26,156.421196,11
-102.616498,19,157.201559,11
-103.086774,20,158.025003,11
-102.072316,20,158.85374,11
-105.733795,32,160.177041,11
-102.788255,16,160.835896,11
-104.311126,23,161.78307,11
-102.558755,20,162.61094,11
-103.32821,19,163.396849,11
-105.232006,19,164.177869,11
-106.543036,30,165.41076,11
-103.401838,20,166.234511,11
-105.56494,18,166.978077,11
-105.311877,22,167.88265,11
-104.530179,26,168.956907,11
-105.532245,30,170.191004,11
-105.309045,19,170.976351,11
-101.808768,10,171.387505,11
-102.040458,17,172.084097,11
-103.993719,16,172.743119,11
-102.145487,12,173.237066,11
-102.607858,18,174.077768,11
-107.13925,29,175.271785,11
-102.510043,19,176.05276,11
-102.72586,26,177.122962,11
-101.001362,11,177.57804,11
-107.490464,40,179.225083,11
-105.09312,28,180.379161,11
-101.513368,15,181.045925,11
-105.622412,36,182.505019,11
-103.755433,23,183.456903,11
-102.342765,15,184.078624,11
-102.725761,17,184.780773,11
-105.038969,33,186.145292,11
-102.027556,19,186.933605,11
-101.714823,12,187.430831,11
-104.413558,23,188.383482,11
-100.519443,7,188.674299,11
-106.534779,26,189.749556,11
-101.908015,20,190.577991,11
-101.485989,12,191.073467,11
-107.279969,30,192.311465,11
-101.888652,19,193.099898,11
-102.620147,23,194.051019,11
-102.743136,15,194.672334,11
-104.853592,25,195.711385,11
-102.204505,20,196.537468,11
-104.245487,22,197.450607,11
-105.201381,28,198.610973,11
-104.190514,18,199.361627,11
-104.802425,19,200.140469,11
-102.07335,14,200.719988,11
