#{"t_start": 1586045698.1502604, "env_id": "CarlaGymEnv-v95"}
r,l,t,max index
30.984142,34,4.604061,1
14.919578,22,5.509814,4
9.369727,17,6.207739,4
6.684288,10,6.619685,4
25.20714,33,7.984676,7
5.294503,8,8.316681,7
28.011575,36,9.815721,8
9.559502,13,10.35279,8
14.329031,20,11.1798,8
11.178859,17,11.878989,8
12.075357,18,12.625686,8
10.392643,14,13.207556,8
12.999898,17,13.91063,8
24.364026,31,15.191861,8
9.363039,13,15.730012,8
15.152651,22,16.635874,8
7.568002,11,17.090078,8
14.18829,19,17.873991,8
10.174888,14,18.45276,8
16.968341,24,19.448527,8
14.610288,23,20.406727,8
15.893558,23,21.35611,8
21.873911,29,22.550106,8
14.943651,22,23.458061,8
18.776958,27,24.571764,8
19.645884,25,25.609754,8
19.606402,27,26.729773,8
6.959078,10,27.142158,8
14.306531,19,27.925045,8
12.226232,16,28.585257,8
18.535972,25,29.620216,8
14.633213,21,30.485782,8
27.035536,36,31.969791,10
7.654152,11,32.422881,10
7.885525,12,32.920799,10
16.128013,21,33.785824,10
16.269617,22,34.690034,10
14.648101,20,35.513104,10
23.463612,36,36.997564,12
23.653357,32,38.319558,12
14.412418,22,39.231046,12
16.076579,21,40.099678,12
19.020269,26,41.177868,12
27.351592,35,42.616845,12
3.273418,6,42.864875,12
16.715601,26,43.947766,12
8.295159,12,44.447758,12
20.945015,29,46.919957,12
14.6422,19,47.085642,12
10.487234,14,47.632121,12
19.558916,27,48.739794,12
10.491262,14,49.321749,12
10.871198,19,50.10773,12
7.968524,11,50.563968,12
17.230385,22,51.476001,12
26.011984,38,53.054844,12
18.145055,23,54.00806,12
16.0696,20,54.835813,12
19.426517,25,55.870683,12
8.221498,12,56.368808,12
17.851422,22,57.278955,12
12.453548,16,57.941628,12
23.156098,33,59.306916,12
9.93991,16,59.965881,12
20.761882,26,61.039752,12
12.783698,20,61.871694,12
8.358462,13,62.409713,12
19.971308,25,63.443896,12
6.078503,9,63.818018,12
25.65458,35,65.271717,12
19.165511,25,66.312741,12
4.96109,8,66.644691,12
19.781168,26,67.720747,12
7.800702,11,68.174884,12
9.998887,14,68.751715,12
16.469354,24,69.746715,12
12.603071,18,70.493711,12
11.096536,14,71.072618,12
10.291282,15,71.69355,12
12.678547,17,72.394559,12
16.929499,24,73.381614,12
15.691892,26,74.516693,12
6.633114,10,74.932508,12
15.742096,20,75.761597,12
22.150035,27,76.881892,12
8.023082,11,77.338782,12
31.102845,40,78.993858,12
15.271532,19,79.77583,12
17.519634,24,80.769043,12
20.239798,26,81.850777,12
8.833667,15,82.470693,12
9.728634,13,83.004738,12
2.509324,5,83.210779,12
17.312465,25,84.246778,12
12.893646,20,85.079879,12
13.611694,18,85.828742,12
13.125039,17,86.532956,12
6.90693,10,86.946759,12
11.734531,17,87.652665,12
6.610409,10,88.067521,12
17.501054,25,89.18539,12
10.425103,17,89.890066,12
11.238676,14,90.473493,12
19.932823,29,91.675489,12
