#{"t_start": 1585778056.3126535, "env_id": "CarlaGymEnv-v95"}
r,l,t,max index
45.456677,51,3.559939,9
21.79567,28,4.713488,9
17.571918,23,5.661839,9
25.408118,31,6.942575,9
25.161658,31,8.219522,9
35.37204,42,10.335403,14
10.33219,16,10.647471,14
19.007143,25,11.679791,14
11.585954,17,12.384707,14
14.366904,20,13.210613,14
15.474039,21,14.201636,14
12.029151,18,14.560591,14
10.421319,16,15.221533,14
8.825673,15,15.839487,14
7.268124,13,16.377642,14
9.203011,15,16.995548,14
9.676756,16,17.655772,14
4.683204,8,18.086704,14
4.006356,7,18.129755,14
3.822063,7,18.279852,14
3.379623,6,18.529801,14
3.786368,7,18.817563,14
3.914132,7,19.105696,14
3.137959,6,19.352682,14
3.11297,6,19.599683,14
3.117405,6,19.848683,14
3.69559,7,20.139579,14
3.914872,7,20.429713,14
3.252576,6,20.675678,14
3.675205,7,20.966564,14
3.271915,6,21.214483,14
3.721549,7,21.504828,14
3.248235,6,21.917635,14
5.874992,11,21.989521,14
7.518587,12,22.451484,14
9.039617,16,23.1096,14
5.712801,10,23.520475,14
11.940389,18,24.262683,14
9.994664,16,24.921719,14
4.578471,8,25.249577,14
4.623664,8,25.790534,14
22.868689,29,26.507635,14
13.519041,19,27.28873,14
38.245526,48,29.268469,17
29.800759,39,30.601488,17
19.433028,26,31.678659,17
20.201764,26,32.750621,17
10.766429,16,33.512411,17
7.824046,11,33.621432,17
5.784086,10,34.030736,17
9.308275,13,34.568538,17
4.447673,8,34.89852,17
3.878949,7,35.186504,17
3.262213,6,35.435701,17
3.224942,6,35.682528,17
3.25866,6,35.930579,17
3.223804,6,36.177581,17
3.227143,6,36.425636,17
3.212494,6,36.673733,17
3.230785,6,36.922605,17
4.372484,8,37.381698,17
7.120907,10,37.443609,17
5.613894,10,37.789494,17
9.072999,13,38.326584,17
3.119253,6,38.5735,17
3.069135,6,38.821534,17
2.454603,5,39.026565,17
3.043586,6,39.272525,17
3.076525,6,39.519627,17
3.073617,6,39.765483,17
2.450699,5,39.970518,17
2.442358,5,40.17584,17
3.075648,6,40.42283,17
3.02149,6,40.669712,17
3.065936,6,41.195731,17
2.456342,5,41.230552,17
2.458308,5,41.263477,17
2.443064,5,41.33802,17
3.063656,6,41.547593,17
2.450626,5,41.752577,17
3.094669,6,41.998577,17
2.444694,5,42.206565,17
3.052537,6,42.453617,17
3.048824,6,42.700542,17
2.439115,5,42.90656,17
2.464083,5,43.114607,17
3.047242,6,43.362553,17
2.441706,5,43.568851,17
2.450164,5,43.776591,17
3.07633,6,44.023678,17
2.449072,5,44.229589,17
3.062499,6,44.477909,17
2.441412,5,44.683559,17
2.445696,5,45.108787,17
3.084244,6,45.147583,17
3.096952,6,45.22693,17
2.439546,5,45.360713,17
2.451153,5,45.570031,17
2.443801,5,45.776639,17
2.445301,5,45.98351,17
2.446271,5,46.190568,17
2.446887,5,46.396484,17
2.447401,5,46.680581,17
2.447538,5,46.88645,17
2.447684,5,47.093562,17
2.449393,5,47.300569,17
2.454525,5,47.50655,17
2.449391,5,47.712603,17
3.026853,6,47.961851,17
2.451996,5,48.168535,17
2.45424,5,48.3736,17
3.085198,6,48.619488,17
2.443797,5,49.062234,17
2.444902,5,49.094943,17
2.45985,5,49.127554,17
2.447318,5,49.160604,17
2.447313,5,49.366554,17
3.051428,6,49.613506,17
3.065499,6,49.860494,17
2.440714,5,50.066624,17
2.457565,5,50.272479,17
2.452516,5,50.480868,17
2.445518,5,50.687649,17
2.446427,5,50.894689,17
3.045805,6,51.142542,17
2.452357,5,51.349657,17
2.443829,5,51.556624,17
2.445926,5,51.761511,17
2.446334,5,51.966628,17
2.446933,5,52.172733,17
2.449904,5,52.379634,17
3.082029,6,52.908491,17
2.462342,5,52.943364,17
2.444033,5,52.976112,17
2.445451,5,53.008395,17
3.052571,6,53.223583,17
3.117258,6,53.470488,17
2.439971,5,53.6768,17
2.441676,5,53.881504,17
3.075391,6,54.131446,17
2.44205,5,54.339697,17
3.063986,6,54.587557,17
2.454152,5,54.794697,17
3.123063,6,55.042592,17
2.440842,5,55.248457,17
2.442214,5,55.453583,17
3.080719,6,55.700482,17
2.44257,5,55.906578,17
2.459926,5,56.115474,17
2.444632,5,56.324544,17
3.05117,6,56.762503,17
2.443149,5,56.830307,17
2.443505,5,56.859685,17
2.445823,5,56.961659,17
2.44621,5,57.167543,17
3.032051,6,57.415543,17
3.101959,6,57.66451,17
2.44708,5,57.871604,17
2.443578,5,58.078614,17
2.444234,5,58.283481,17
2.445584,5,58.489529,17
2.446463,5,58.696429,17
2.44701,5,58.901618,17
2.453568,5,59.108581,17
2.448822,5,59.315621,17
2.447719,5,59.521578,17
2.459069,5,59.727502,17
2.447734,5,59.93455,17
3.085324,6,60.180527,17
3.053459,6,60.664998,17
2.451532,5,60.696022,17
2.442402,5,60.73738,17
2.444387,5,60.805627,17
2.453422,5,61.011629,17
2.453644,5,61.218673,17
2.447651,5,61.426657,17
2.447383,5,61.633685,17
2.448328,5,61.839748,17
3.048321,6,62.08654,17
2.444393,5,62.292469,17
2.444769,5,62.533031,17
2.445627,5,62.603813,17
2.446496,5,62.636769,17
2.447296,5,62.808519,17
2.447392,5,63.014563,17
2.457322,5,63.221568,17
3.072482,6,63.468543,17
2.445374,5,63.676557,17
3.061198,6,63.925634,17
2.443858,5,64.271537,17
2.457605,5,64.303151,17
2.454253,5,64.335134,17
3.101196,6,64.547895,17
3.051714,6,64.793917,17
2.445427,5,65.000577,17
3.098087,6,65.247532,17
2.440572,5,65.452659,17
2.441951,5,65.660586,17
3.047942,6,65.909514,17
2.44211,5,66.114517,17
2.442851,5,66.319688,17
3.094972,6,66.565525,17
2.442364,5,66.771492,17
2.443087,5,66.976827,17
3.100671,6,67.223504,17
2.442267,5,67.430659,17
3.081019,6,67.679685,17
3.053745,6,68.147034,17
2.439411,5,68.178375,17
2.441268,5,68.245505,17
3.101005,6,68.351572,17
2.463533,5,68.556591,17
2.442468,5,68.762564,17
2.454607,5,68.969529,17
2.445623,5,69.175624,17
3.053188,6,69.42149,17
2.452626,5,69.627447,17
3.086716,6,69.874943,17
2.441791,5,70.080578,17
3.065088,6,70.3276,17
2.448625,5,70.53556,17
2.442438,5,70.742592,17
2.455875,5,70.95061,17
2.445686,5,71.157598,17
2.446541,5,71.365561,17
3.044181,6,71.612593,17
2.443947,5,72.024372,17
3.077999,6,72.059767,17
2.442022,5,72.099219,17
2.442764,5,72.200694,17
2.459863,5,72.405674,17
3.095438,6,72.65171,17
2.442952,5,72.857594,17
2.443385,5,73.063629,17
2.44506,5,73.270648,17
2.446116,5,73.475617,17
3.054669,6,73.721551,17
2.443858,5,73.928581,17
2.44395,5,74.134665,17
3.049448,6,74.384557,17
3.050595,6,74.630641,17
2.440027,5,74.836628,17
3.050625,6,75.084574,17
3.125272,6,75.33361,17
2.438283,5,75.540523,17
2.45924,5,75.875252,17
2.44377,5,75.906321,17
3.045475,6,75.981224,17
3.111556,6,76.19366,17
3.073146,6,76.442573,17
2.438337,5,76.647523,17
2.440613,5,76.85452,17
2.443728,5,77.059664,17
2.45504,5,77.265599,17
2.445957,5,77.470692,17
2.446719,5,77.675598,17
3.064202,6,77.923587,17
2.444065,5,78.129674,17
3.102155,6,78.378622,17
2.441839,5,78.585642,17
2.442815,5,78.791543,17
2.444686,5,78.99758,17
2.445862,5,79.204651,17
3.027518,6,79.723483,17
3.052688,6,79.758714,17
2.44064,5,79.789132,17
2.442029,5,79.820812,17
2.444161,5,80.027598,17
2.445547,5,80.232574,17
2.446438,5,80.441488,17
2.446999,5,80.648724,17
3.046354,6,80.896961,17
2.462333,5,81.101592,17
2.45796,5,81.306587,17
3.055315,6,81.552667,17
2.455381,5,81.759442,17
2.443473,5,81.965543,17
2.445087,5,82.171457,17
2.446131,5,82.377862,17
2.4468,5,82.583582,17
2.447238,5,82.789572,17
2.453672,5,82.994724,17
2.451014,5,83.202516,17
2.448156,5,83.582311,17
2.448052,5,83.618451,17
3.027543,6,83.657823,17
3.074977,6,83.841649,17
2.441045,5,84.047664,17
