#{"t_start": 1585635637.4988396, "env_id": "CarlaGymEnv-v95"}
r,l,t,max index
24.31656,33,6.195527,0
14.769052,22,7.107681,5
17.04167,26,8.183602,5
17.920502,27,9.299584,5
8.927886,16,9.961848,5
20.03591,37,11.119667,9
10.638367,16,11.782559,9
19.436837,33,13.150601,9
3.20296,7,13.442692,9
13.84874,25,14.481809,9
10.775061,17,15.203609,9
13.673858,20,16.029754,9
13.812389,22,16.938679,9
4.289305,9,17.310668,9
19.903161,28,18.467784,9
20.588184,30,19.709577,9
18.349063,31,21.002812,9
4.739225,9,21.375584,9
14.664304,22,22.289662,9
11.316457,18,23.035555,9
9.826351,16,23.700793,9
18.493543,27,24.819837,9
5.711899,10,25.235633,9
15.422298,30,26.498776,9
13.763142,21,27.365648,9
20.485186,30,28.611587,9
14.488646,22,29.523598,9
12.641173,20,30.354673,9
16.040728,23,31.328574,9
9.964461,20,32.158629,9
8.382814,14,32.738719,9
3.039764,7,33.0277,9
7.449634,12,33.524755,9
15.413426,28,34.683594,9
14.752817,22,35.595637,9
1.426248,5,35.801709,9
17.573667,30,37.063676,9
13.152868,26,38.14272,9
14.721857,24,39.137549,9
16.055855,24,40.13567,9
18.611699,27,41.256855,9
8.304392,14,41.854759,9
15.638784,24,42.849766,9
11.44981,22,43.761656,9
11.44449,22,44.672642,9
4.356339,10,45.086561,9
7.690855,12,45.58367,9
16.042327,28,46.744571,9
11.010784,19,47.556792,9
6.870003,12,48.05584,9
19.406782,29,49.261743,9
16.806,28,50.419748,9
18.230755,33,51.783507,9
13.756776,22,52.716056,9
16.761802,26,53.791695,9
8.731033,14,54.371807,9
16.271531,25,55.405863,9
9.422999,15,56.027773,9
15.624042,22,56.9426,9
18.390488,29,58.156877,9
14.32348,24,59.146584,9
14.808318,25,60.180704,9
13.216696,21,61.048571,9
18.029809,29,62.250662,9
7.611131,13,62.792775,9
6.532494,11,63.264666,9
21.280206,33,64.628586,9
14.326794,27,65.748565,9
15.911329,26,66.82471,9
6.043215,11,67.281621,9
2.3923,6,67.529734,9
7.760088,14,68.10963,9
10.699697,18,68.873657,9
13.386422,21,69.742614,9
21.671152,37,71.274576,10
10.921962,17,71.979697,10
16.720102,27,73.097559,10
16.910861,30,74.363575,10
11.041555,21,75.230666,10
27.087272,42,76.967823,11
14.88138,24,77.961625,11
15.826165,27,79.095551,11
11.185774,20,79.925609,11
8.934224,15,80.548666,11
16.904495,25,81.584567,11
5.328442,10,81.996667,11
13.911505,23,82.948776,11
12.63022,21,83.817631,11
19.438646,29,85.035573,11
9.183889,15,85.656603,11
18.210953,29,86.858629,11
22.834822,37,88.389721,11
6.636543,12,88.886651,11
24.518828,34,90.317664,11
15.055423,24,91.308766,11
16.294401,25,92.348733,11
19.786961,31,93.636796,11
10.729926,19,94.423577,11
8.455508,14,95.018642,11
9.66317,16,95.678846,11
23.354498,37,97.209558,11
16.933833,29,98.41007,11
7.751495,13,98.949649,11
16.449013,25,99.97987,11
15.635115,25,101.026642,11
8.398255,15,101.64473,11
13.226387,21,102.518774,11
14.266149,22,103.426769,11
10.771976,17,104.12867,11
14.350657,21,104.99672,11
10.000139,16,105.680893,11
10.233577,16,106.340649,11
6.789946,12,106.837786,11
17.663398,27,107.954717,11
13.032068,19,108.743643,11
11.499607,19,109.536586,11
13.29758,20,110.367647,11
13.773621,24,111.382608,11
13.060589,21,112.25077,11
23.48178,34,113.659878,11
4.840937,9,114.033702,11
8.9253,14,114.61279,11
16.598048,24,115.605612,11
5.719272,10,116.020557,11
8.713961,15,116.659606,11
11.252026,18,117.40563,11
9.109971,16,118.067619,11
13.994219,20,118.900738,11
5.831007,10,119.313701,11
16.474074,26,120.390637,11
22.047878,33,121.771532,11
15.855689,24,122.770558,11
7.26325,12,123.268602,11
26.724816,40,124.926571,11
19.775457,32,126.254562,11
3.002295,7,126.543725,11
24.414141,39,128.18155,11
14.349134,26,129.253601,11
23.607728,37,130.790781,13
19.065182,34,132.211571,13
15.397374,23,133.160844,13
10.798181,22,134.071634,13
9.984284,16,134.734718,13
6.233545,12,135.229596,13
8.795274,14,135.810672,13
19.998959,32,137.140798,13
14.799529,24,138.156645,13
12.305029,22,139.068824,13
18.461546,29,140.269689,13
19.991641,32,141.595857,13
10.401197,18,142.344702,13
22.686361,34,143.773989,13
10.42883,18,144.519604,13
16.059532,29,145.718654,13
30.840888,48,147.706628,15
10.770395,17,148.429889,15
12.031156,20,149.259692,15
14.050045,21,150.130758,15
1.586666,5,150.336092,15
11.766722,20,151.160824,15
12.498205,19,151.950577,15
12.952718,21,152.818639,15
13.35332,25,153.871674,15
14.868975,26,154.947678,15
18.391361,27,156.068578,15
13.416044,23,157.020691,15
8.083222,13,157.557649,15
12.051823,19,158.345683,15
13.662919,21,159.231554,15
20.796277,37,160.761681,15
6.831323,12,161.258625,15
13.522257,23,162.21079,15
10.512274,17,162.915889,15
16.939096,29,164.131656,15
13.289856,20,164.959871,15
15.640589,24,165.956839,15
14.656426,24,166.950698,15
16.846518,25,167.984762,15
23.053764,35,169.449836,15
10.38292,16,170.112657,15
10.172466,16,170.775696,15
9.75837,18,171.522603,15
6.819285,12,172.023689,15
22.659716,34,173.436948,15
19.481658,34,174.862808,15
7.179143,13,175.397795,15
9.603894,15,176.017626,15
4.335046,9,176.389766,15
10.055995,17,177.092675,15
19.041628,27,178.21067,15
7.983316,13,178.750739,15
17.041589,27,179.869704,15
19.642587,33,181.251655,15
6.260654,11,181.707741,15
27.16808,42,183.448726,15
21.811178,33,184.811692,15
14.047352,21,185.695675,15
9.121313,14,186.276678,15
10.73965,19,187.055681,15
23.182219,36,188.548586,15
6.35071,11,189.004574,15
12.34393,18,189.748583,15
10.982906,17,190.453926,15
21.674992,34,191.880732,15
18.195035,31,193.167602,15
14.245744,21,194.034735,15
12.93556,20,194.862817,15
8.716937,16,195.52694,15
19.577674,29,196.745682,15
9.259763,18,197.492649,15
15.406732,23,198.444632,15
12.883993,21,199.315688,15
15.277053,22,200.228816,15
8.073525,13,200.768652,15
13.65179,21,201.656639,15
4.762016,9,202.02853,15
10.47051,16,202.689693,15
21.546446,38,204.267786,15
19.063302,35,205.712704,15
16.998503,26,206.803779,15
9.838132,16,207.465678,15
13.024606,24,208.460623,15
15.237538,24,209.457772,15
14.040856,22,210.36863,15
10.602707,16,211.032576,15
16.837344,26,212.123808,15
15.768364,24,213.114619,15
7.20598,12,213.610745,15
13.648289,21,214.47267,15
14.047274,23,215.419801,15
1.425798,5,215.628852,15
19.296632,32,216.952597,15
5.973234,11,217.424563,15
12.946307,20,218.244578,15
11.096634,17,218.944849,15
11.353974,20,219.771606,15
12.823662,19,220.559635,15
10.562463,17,221.261667,15
17.275341,28,222.42178,15
11.422488,18,223.178671,15
15.378707,23,224.13239,15
12.551579,20,224.958569,15
12.149227,23,225.910724,15
9.074756,15,226.530679,15
14.822708,27,227.647655,15
13.226785,21,228.528564,15
9.422189,15,229.147705,15
6.437983,11,229.60461,15
20.236756,30,230.848627,15
18.592219,32,232.177696,15
21.775836,32,233.514916,15
9.128825,15,234.137676,15
9.790662,16,234.803669,15
9.451748,15,235.427885,15
18.281635,30,236.675637,15
12.576038,18,237.421755,15
18.657603,33,238.802004,15
12.654106,18,239.548791,15
13.679589,25,240.586811,15
14.041378,23,241.537634,15
7.437237,12,242.036704,15
28.807803,40,243.688748,15
5.288918,10,244.119627,15
10.046237,16,244.783872,15
16.993107,28,245.940717,15
14.227682,21,246.809746,15
9.77784,17,247.51268,15
19.86704,31,248.792582,15
12.015877,20,249.64367,15
8.108254,15,250.266916,15
8.471646,14,250.846344,15
19.61457,28,251.993893,15
17.174828,26,253.059705,15
3.487557,8,253.387944,15
4.868518,9,253.75668,15
17.192556,29,254.966542,15
13.765747,21,255.841563,15
19.380243,28,256.998676,15
7.716261,12,257.496637,15
22.162915,33,258.859826,15
12.573003,20,259.686802,15
15.326418,24,260.697702,15
4.973211,9,261.069594,15
19.665435,29,262.267702,15
6.577147,11,262.723659,15
16.858827,26,263.803735,15
9.803943,16,264.466789,15
24.83325,41,266.181634,15
9.105541,15,266.802552,15
10.464494,21,267.67089,15
14.045657,24,268.658764,15
13.853596,22,269.567556,15
16.295802,26,270.658661,15
9.662503,16,271.320878,15
14.448758,23,272.274774,15
11.005125,17,272.976905,15
15.289386,25,274.012734,15
19.496311,36,275.502636,15
11.423857,22,276.431675,15
14.932776,26,277.505575,15
5.188856,10,277.920596,15
14.662416,26,278.998648,15
13.483159,20,279.820529,15
21.581373,31,281.119705,15
3.11871,7,281.41167,15
15.426623,26,282.485595,15
8.833178,14,283.065678,15
17.753808,33,284.434581,15
20.408467,36,285.929558,15
9.605853,17,286.64862,15
15.836385,28,287.808645,15
10.02102,16,288.470603,15
11.075765,17,289.174653,15
13.092552,20,290.000598,15
22.534803,36,291.491628,15
20.274266,35,292.964596,15
14.683472,29,294.169608,15
17.344631,28,295.332812,15
9.181955,17,296.033608,15
10.541179,17,296.741648,15
13.531561,21,297.63165,15
9.007833,15,298.252652,15
25.642728,39,299.863765,15
8.448675,16,300.532649,15
14.22588,22,301.446722,15
3.907125,8,301.777562,15
23.41585,40,303.453832,15
9.359796,15,304.074569,15
15.695733,28,305.237675,15
14.566224,21,306.109684,15
14.137699,23,307.061664,15
21.080141,38,308.649648,15
14.507908,22,309.560786,15
15.598786,26,310.639672,15
16.630211,25,311.675704,15
19.613666,28,312.835774,15
9.950354,16,313.508842,15
22.732446,36,314.9857,15
14.861777,22,315.897652,15
9.846958,18,316.642572,15
3.999153,8,316.97457,15
18.914741,29,318.175742,15
5.84147,10,318.610561,15
16.999366,24,319.606714,15
27.209128,39,321.220362,15
7.271005,14,321.799756,15
12.633298,21,322.668782,15
14.182357,23,323.63668,15
17.242582,30,324.877462,15
7.692552,14,325.45947,15
20.798014,32,326.781613,15
12.893451,19,327.568569,15
20.67864,30,328.813714,15
26.378153,41,330.527531,15
14.627673,21,331.396604,15
14.088486,21,332.266586,15
15.539923,23,333.223541,15
25.793343,41,334.93562,15
12.430995,19,335.721568,15
25.725955,39,337.333583,15
16.40412,30,338.573724,15
9.875387,16,339.238703,15
10.183521,20,340.080812,15
21.800969,35,341.531699,15
10.109192,16,342.196727,15
17.401417,31,343.482588,15
9.632994,16,344.147645,15
12.464143,21,345.033701,15
33.271322,48,347.02072,15
12.049257,19,347.808643,15
10.300724,20,348.63967,15
21.607746,34,350.053571,15
13.260956,20,350.892047,15
14.058576,21,351.762732,15
13.734388,23,352.715581,15
15.28821,24,353.707639,15
5.874665,11,354.164707,15
15.820689,23,355.116548,15
21.433427,37,356.670619,15
7.028249,12,357.17066,15
11.983772,20,357.995578,15
6.132569,11,358.450601,15
12.123302,19,359.236598,15
1.947555,6,359.485573,15
22.099748,32,360.821704,15
9.411357,15,361.443599,15
18.480652,34,362.850673,15
14.211193,21,363.711668,15
8.672999,15,364.329647,15
16.087328,23,365.287716,15
7.259302,13,365.826729,15
12.110187,24,366.833568,15
3.860792,8,367.16765,15
8.965854,14,367.748713,15
22.446184,34,369.154913,15
11.2868,17,369.85475,15
18.961288,33,371.21765,15
24.425273,35,372.678672,15
7.188641,12,373.175627,15
12.915234,21,374.047538,15
11.725594,20,374.869678,15
19.943105,30,376.111651,15
5.383052,11,376.566642,15
10.32338,16,377.240651,15
5.314793,10,377.655758,15
13.612859,22,378.567541,15
7.304863,12,379.065573,15
12.878741,21,379.935688,15
11.002145,21,380.803809,15
3.850408,8,381.13473,15
12.759905,20,381.967616,15
13.865524,21,382.853665,15
33.445617,50,384.926568,16
12.991213,24,385.91797,16
16.80348,27,387.034708,16
15.025263,23,388.000577,16
5.807883,10,388.413551,16
25.394151,42,390.154749,16
14.14647,24,391.149636,16
10.19877,16,391.809858,16
11.857534,24,392.812646,16
17.962041,30,394.056727,16
18.803321,27,395.175646,16
9.260071,17,395.880876,16
8.789244,14,396.459717,16
15.863858,25,397.501587,16
17.968958,27,398.635687,16
28.240892,43,400.40567,16
5.847205,11,400.85787,16
26.172623,39,402.474574,16
14.791206,27,403.606925,16
16.692326,27,404.729758,16
5.223543,10,405.144686,16
14.078416,22,406.055681,16
11.476557,18,406.800585,16
10.292035,16,407.463794,16
14.78459,29,408.679718,16
15.717751,25,409.718692,16
8.437861,13,410.261885,16
11.546192,18,411.007595,16
13.407151,23,411.957669,16
7.75164,13,412.494877,16
10.057333,16,413.155644,16
19.086604,29,414.372582,16
10.911091,19,415.158715,16
10.440184,17,415.859674,16
22.519992,41,417.555709,16
7.696998,13,418.092618,16
21.236335,32,419.432634,16
21.316881,32,420.755603,16
14.764249,24,421.74775,16
11.07447,19,422.536669,16
13.864071,21,423.405709,16
13.463449,22,424.313681,16
10.107611,17,425.028647,16
13.824399,21,425.901679,16
6.348477,12,426.397799,16
12.742935,20,427.224553,16
11.213498,18,427.965668,16
3.504024,8,428.297584,16
16.327813,24,429.293656,16
16.678655,25,430.344891,16
8.8051,16,431.007666,16
16.359912,31,432.297734,16
10.667588,17,433.002668,16
16.16117,29,434.205578,16
11.756451,18,434.953624,16
12.811922,20,435.795578,16
9.113531,16,436.455667,16
23.747735,34,437.850773,16
4.851137,10,438.263596,16
14.788989,25,439.297569,16
9.605286,15,439.918639,16
17.507704,28,441.088623,16
17.488336,28,442.236615,16
4.876006,10,442.650556,16
18.921717,29,443.852627,16
19.654984,30,445.097936,16
18.302747,30,446.352856,16
10.268288,17,447.055717,16
12.147032,18,447.799446,16
6.490301,11,448.253659,16
10.205933,16,448.918535,16
16.225489,27,450.036556,16
8.270375,14,450.615543,16
18.266093,30,451.875549,16
6.601458,11,452.33164,16
21.672208,35,453.779549,16
15.18618,25,454.813719,16
9.232681,16,455.476814,16
16.863798,31,456.770673,16
9.132865,15,457.394658,16
9.46429,15,458.014734,16
15.030764,26,459.08763,16
16.17231,27,460.206552,16
20.012635,31,461.48255,16
10.041737,18,462.24569,16
15.758424,30,463.487655,16
9.434113,16,464.150389,16
15.713373,24,465.142606,16
6.897125,12,465.644653,16
23.031272,32,466.963443,16
12.199897,23,467.929414,16
5.10014,9,468.297695,16
12.62307,21,469.158783,16
14.228964,23,470.10485,16
18.103097,28,471.264556,16
13.66579,20,472.094552,16
7.439757,12,472.606666,16
19.342076,29,473.807618,16
12.806426,20,474.636686,16
12.992798,21,475.503948,16
21.011678,36,476.993725,16
8.792847,14,477.571658,16
6.262092,12,478.082633,16
15.270686,24,479.074395,16
13.501097,22,479.985445,16
10.522719,17,480.693414,16
18.036945,29,481.896883,16
15.530215,24,482.888632,16
20.408397,31,484.186596,16
10.050052,16,484.850573,16
21.061677,32,486.172725,16
4.257095,8,486.505677,16
20.592896,31,487.792756,16
18.232841,33,489.171389,16
14.058707,23,490.11985,16
7.72276,14,490.698641,16
32.292956,52,492.859701,16
5.53783,10,493.275665,16
14.803819,22,494.201578,16
8.758198,14,494.780687,16
15.806892,25,495.817309,16
19.635516,33,497.183562,16
6.625677,12,497.680655,16
11.60472,20,498.507837,16
11.070079,21,499.391845,16
15.029134,28,500.550567,16
15.660865,26,501.625543,16
13.208082,24,502.622688,16
19.835632,32,503.951648,16
13.994286,26,505.032692,16
19.090131,30,506.266729,16
4.311317,9,506.641613,16
15.083887,24,507.633631,16
15.002474,23,508.589822,16
19.116078,33,509.966639,16
9.425173,16,510.63363,16
6.467841,11,511.087665,16
9.536397,15,511.708701,16
