#{"t_start": 1586045793.4796972, "env_id": "CarlaGymEnv-v95"}
r,l,t,max index
-116.553607,41,4.953489,3
-113.425728,24,5.948166,4
-114.467883,28,7.107338,7
-114.576736,28,8.274285,7
-103.2583,11,8.727397,7
-113.312365,22,9.639509,7
-107.769898,15,10.261385,7
-110.106722,17,10.962427,7
-108.367588,20,11.783437,7
-104.446765,11,12.239681,7
-114.176514,25,13.274452,7
-112.908055,24,14.264409,7
-106.740441,17,14.965457,7
-113.963632,28,16.121375,7
-104.744339,12,16.618417,7
-114.048759,25,17.652539,7
-112.865953,24,18.643435,7
-103.832893,9,19.014353,7
-126.463211,43,20.797351,11
-108.078895,22,21.71329,11
-107.403585,18,22.463294,11
-108.780424,22,23.371314,11
-111.079132,19,24.151263,11
-120.64733,33,25.516388,11
-115.869814,30,26.754149,11
-113.677781,29,27.954184,11
-108.480472,22,28.864149,11
-118.101932,32,30.193217,11
-105.737993,17,30.902426,11
-111.096949,22,31.810198,11
-107.85502,18,32.554241,11
-114.555967,29,33.754515,11
-122.45063,38,35.32543,11
-103.608895,11,35.780471,11
-112.107958,20,36.608618,11
-104.669027,11,37.064504,11
-110.9812,23,38.015641,11
-104.820403,13,38.549634,11
-113.436769,26,39.62445,11
-109.715705,20,40.449664,11
-103.236991,8,40.779267,11
-104.359398,13,41.324227,11
-106.748217,18,42.072305,11
-112.282909,25,43.109936,11
-114.801689,23,44.065202,11
-110.274738,16,44.724924,11
-107.259382,15,45.346289,11
-113.093591,24,46.900864,11
-107.042923,13,47.439907,11
-114.547879,27,48.554917,11
-110.947677,22,49.465903,11
-110.091975,18,50.2149,11
-112.521709,26,51.290895,11
-105.406558,10,51.70538,11
-110.19049,23,52.655098,11
-108.836455,21,53.523113,11
-115.938328,30,54.762154,11
-105.533358,12,55.260928,11
-107.931772,21,56.13132,11
-107.703144,14,56.713264,11
-115.620071,29,57.911271,11
-113.046734,21,58.776182,11
-109.284217,22,59.688159,11
-107.184094,16,60.35122,11
-107.555088,19,61.186341,11
-106.551282,17,61.896358,11
-111.191843,22,62.806403,11
-102.794243,8,63.13683,11
-109.231614,17,63.839345,11
-109.505921,19,64.624376,11
-107.527761,15,65.24123,11
-106.686446,14,65.817192,11
-115.866454,30,67.052619,11
-112.282655,21,67.921501,11
-115.279077,26,68.99243,11
-114.761693,22,69.894583,11
-113.05722,25,70.926402,11
-106.861149,18,71.667513,11
-106.137552,11,72.119377,11
-106.920381,14,72.693407,11
-115.975571,34,74.08857,11
-124.275298,48,76.062483,15
-110.466366,26,77.128448,15
-113.669219,22,78.03144,15
-106.342145,14,78.609252,15
-105.199016,16,79.268144,15
-112.417877,29,80.458267,15
-105.684317,14,81.033273,15
